name,lat,lon,annual_visitors,description
Goa Beach,15.4500,73.8000,2000000,"Famous beaches and nightlife"
Taj Mahal,27.1751,78.0421,3000000,"Iconic monument in Agra"
Jaipur Palace,26.9124,75.7873,1100000,"Historic forts and palaces"
Manali,32.2432,77.1892,600000,"Hills & adventure"
Kerala Backwaters,9.9312,76.2673,900000,"Backwaters & houseboats"
Mumbai Gateway,18.9220,72.8347,1500000,"Gateway of India"
Ladakh,34.1526,77.5770,120000,"High-altitude scenic roads"
Ooty,11.4064,76.6932,240000,"Hill station with tea gardens"
Hampi,15.3350,76.4600,180000,"Historic ruins and temples"
Ranthambore,26.0173,76.5026,95000,"Wildlife sanctuary and tiger reserve"
